고시일,구분코드,구분,항목(대)코드,항목(대),항목(중)코드,항목(중),항목(소)코드,항목(소),단위,variable,unit
20150529,1,건물개요,1,대지면적,0,,0,,m²,대지면적,m²
20150529,1,건물개요,2,연면적,0,,0,,m²,연면적,m²
20150529,1,건물개요,3,건축면적,0,,0,,m²,건축면적,m²
20150529,1,건물개요,4,구조,0,,0,,-,구조,
20150529,1,건물개요,5,건물규모,0,,0,,-,건물규모,
20150529,1,건물개요,6,주체,0,,0,,-,주체,
20150529,2,평가결과,1,에너지요구량,1,난방,0,,kWh/m²yr,에너지요구량/난방,kWh/m²yr
20150529,2,평가결과,1,에너지요구량,2,냉방,0,,kWh/m²yr,에너지요구량/냉방,kWh/m²yr
20150529,2,평가결과,1,에너지요구량,3,급탕,0,,kWh/m²yr,에너지요구량/급탕,kWh/m²yr
20150529,2,평가결과,1,에너지요구량,4,조명,0,,kWh/m²yr,에너지요구량/조명,kWh/m²yr
20150529,2,평가결과,1,에너지요구량,5,환기,0,,kWh/m²yr,에너지요구량/환기,kWh/m²yr
20150529,2,평가결과,1,에너지요구량,6,합계,0,,kWh/m²yr,에너지요구량/합계,kWh/m²yr
20150529,2,평가결과,2,에너지소요량,1,난방,0,,kWh/m²yr,에너지소요량/난방,kWh/m²yr
20150529,2,평가결과,2,에너지소요량,2,냉방,0,,kWh/m²yr,에너지소요량/냉방,kWh/m²yr
20150529,2,평가결과,2,에너지소요량,3,급탕,0,,kWh/m²yr,에너지소요량/급탕,kWh/m²yr
20150529,2,평가결과,2,에너지소요량,4,조명,0,,kWh/m²yr,에너지소요량/조명,kWh/m²yr
20150529,2,평가결과,2,에너지소요량,5,환기,0,,kWh/m²yr,에너지소요량/환기,kWh/m²yr
20150529,2,평가결과,2,에너지소요량,6,합계,0,,kWh/m²yr,에너지소요량/합계,kWh/m²yr
20150529,2,평가결과,3,1차에너지소요량,1,난방,0,,kWh/m²yr,1차에너지소요량/난방,kWh/m²yr
20150529,2,평가결과,3,1차에너지소요량,2,냉방,0,,kWh/m²yr,1차에너지소요량/냉방,kWh/m²yr
20150529,2,평가결과,3,1차에너지소요량,3,급탕,0,,kWh/m²yr,1차에너지소요량/급탕,kWh/m²yr
20150529,2,평가결과,3,1차에너지소요량,4,조명,0,,kWh/m²yr,1차에너지소요량/조명,kWh/m²yr
20150529,2,평가결과,3,1차에너지소요량,5,환기,0,,kWh/m²yr,1차에너지소요량/환기,kWh/m²yr
20150529,2,평가결과,3,1차에너지소요량,6,합계,0,,kWh/m²yr,1차에너지소요량/합계,kWh/m²yr
20150529,2,평가결과,4,등급산출용 1차에너지소요량,1,난방,0,,kWh/m²yr,등급산출용 1차에너지소요량/난방,kWh/m²yr
20150529,2,평가결과,4,등급산출용 1차에너지소요량,2,냉방,0,,kWh/m²yr,등급산출용 1차에너지소요량/냉방,kWh/m²yr
20150529,2,평가결과,4,등급산출용 1차에너지소요량,3,급탕,0,,kWh/m²yr,등급산출용 1차에너지소요량/급탕,kWh/m²yr
20150529,2,평가결과,4,등급산출용 1차에너지소요량,4,조명,0,,kWh/m²yr,등급산출용 1차에너지소요량/조명,kWh/m²yr
20150529,2,평가결과,4,등급산출용 1차에너지소요량,5,환기,0,,kWh/m²yr,등급산출용 1차에너지소요량/환기,kWh/m²yr
